noisy_question,mode,vision_path,ground_truth,true_baseline_output,agent_baseline_output,four_shot_output,true_baseline_bert_f1,agent_baseline_bert_f1,four_shot_bert_f1,true_baseline_bleu,agent_baseline_bleu,four_shot_bleu,true_baseline_rougeL_f1,agent_baseline_rougeL_f1,four_shot_rougeL_f1,true_baseline_kw_recall,agent_baseline_kw_recall,four_shot_kw_recall
tell me about the texture,combined,images_rgb/image_437_rgb.jpg,"smooth, glossy, patterned","smooth, soft.","soft, smooth, stretchy, flexible, lightweight","soft, stretchy, smooth, flexible, fabric",0.68526536,0.70436907,0.6605226,0.09069748827745895,0.05372849659117709,0.05372849659117709,0.4,0.25,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
"Ignoring the color, I'm interested in the physical sensation one might get from this.",combined,images_rgb/image_4210_rgb.jpg,"flat, lined, hard","smooth, flexible, braided, leather-like, rubbery.","smooth, soft, flexible, cool, leather-like","soft, smooth, flexible, rubbery, leather-like",0.6118694,0.66401404,0.6143233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what does this feel liek?,combined,images_rgb/image_3312_rgb.jpg,"fabric, coarse, deformable","soft, smooth, fabric, slightly textured, flexible.","soft, smooth, fuzzy, flexible, rough","soft, fabric, smooth, flexible, woven",0.67901576,0.5559968,0.7148439,0.040824829046386304,0.0,0.05372849659117709,0.2222222222222222,0.0,0.25,0.3333333333333333,0.0,0.3333333333333333
Describe the tactile properties of this image.,combined,images_rgb/image_3131_rgb.jpg,"sewn, coarse, fabric, deformable","The tactile attributes of the image are: soft, fabric, wrinkled, rough, frayed.","coarse, rough, flexible, woven, torn","coarse, rough, woven, frayed, thick",0.6271055,0.7072329,0.6940867,0.017033186037639283,0.05372849659117709,0.05372849659117709,0.125,0.22222222222222224,0.22222222222222224,0.25,0.25,0.25
Describe the tactile properties of this image.,combined,images_rgb/image_3881_rgb.jpg,"flimsy, glossy, sewn","smooth, fabric, rubber, woven.","smooth, soft, flexible, woven, lightweight","smooth, lightweight, fabric, flexible, waterproof",0.74147373,0.72314173,0.6909631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ignoring the color, I'm interested in the physical sensation one might get from this.",combined,images_rgb/image_2275_rgb.jpg,"lined, deformable, soft, woven","soft, stretchy, lace, ribbed.","soft, smooth, stretchy, woven, textured","soft, stretchy, lace, woven, ribbed",0.74917877,0.7413365,0.7670563,0.08034284189446518,0.05372849659117709,0.05372849659117709,0.25,0.4444444444444445,0.4444444444444445,0.25,0.5,0.5
texture?,combined,images_rgb/image_1398_rgb.jpg,"soft, lined, fabric","smooth, fabric, rubber, metal.","soft, smooth, flexible, ribbed, fabric","metallic, smooth, rigid, cold, hard",0.6473108,0.7921892,0.6580208,0.0,0.06389431042462725,0.0,0.28571428571428575,0.5,0.0,0.3333333333333333,0.6666666666666666,0.0
what does this feel liek?,combined,images_rgb/image_1871_rgb.jpg,"lined, grainy, fabric","soft, smooth, fabric, slightly wrinkled, flexible.","soft, smooth, flexible, lightweight, woven","soft, fabric, wrinkled, stitched, flexible",0.6894053,0.64627594,0.6824992,0.0,0.0,0.0,0.2222222222222222,0.0,0.25,0.3333333333333333,0.0,0.3333333333333333
what does this feel like?,combined,images_rgb/image_2751_rgb.jpg,"sewn, soft, fabric","soft, smooth, lightweight, fabric, slightly wrinkled.","soft, smooth, lightweight, delicate, fabric","soft, smooth, delicate",0.6889769,0.7276372,0.5984916,0.040824829046386304,0.06389431042462725,0.11362193664674995,0.4444444444444444,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
tell me about the texture,combined,images_rgb/image_2875_rgb.jpg,"fabric, soft, deformable","soft, smooth, wrinkled.","soft, smooth, wrinkled, lightweight, fragile","soft, smooth, lightweight, fabric, flexible",0.6451562,0.63547987,0.7481216,0.11362193664674995,0.05372849659117709,0.06389431042462725,0.3333333333333333,0.25,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666
